Tittle,Year Release,MPAA Rating,Duration(minutes),IMDB Score,Metascore,Genre 1,Genre 2,Genre 3,Gross($M)

Kicking and Screaming,1995,R,96,6.8,75,Comedy,Drama,Romance,0.70

I Spit on Your Grave 3: Vengeance Is Mine,2015,NA,92,5.2,NA,Horror,Thriller,NA,NA

Il capitale umano,2013,NA,111,7.3,63,Crime,Drama,NA,0.16

Una giornata particolare,1977,NA,106,8.1,NA,Drama,NA,NA,NA

The Romantics,2010,PG-13,95,5.1,43,Comedy,Drama,Romance,0.10

Air,I 2015,PG-13,95,5.1,33,Drama,Sci-Fi,Thriller,NA

Der Rote Baron,2008,PG-13,106,6.4,NA,Action,Adventure,Biography,0.04

Topsy-Turvy,1999,R,160,7.3,90,Biography,Comedy,Drama,6.20

Anatomie,2000,R,103,6.1,33,Horror,Thriller,NA,0.01

Howl,I 2015,NA,92,5.4,NA,Action,Fantasy,Horror,NA

The Black Stallion,1979,NA,118,7.3,84,Adventure,Family,Sport,NA

Alferd Packer: The Musical,1993,R,95,7.1,NA,Comedy,Musical,Thriller,NA

Paris,I 2008,R,130,6.8,68,Comedy,Drama,Romance,1.01

Hatari!,1962,NA,157,7.2,NA,Action,Adventure,Comedy,14.00

Freeheld,2015,PG-13,103,6.6,50,Biography,Drama,Romance,0.53

O Auto da Compadecida,2000,NA,104,8.6,NA,Comedy,Drama,Western,NA

Manhattan Nocturne,2016,R,113,6.2,44,Crime,Drama,Mystery,NA

Black or White,2014,PG-13,121,6.6,45,Drama,NA,NA,21.57

My Little Eye,2002,R,95,5.5,NA,Horror,Mystery,Thriller,NA

December Boys,2007,PG-13,105,6.5,56,Drama,Romance,NA,0.05

Veere Di Wedding,2018,21+,135,3.2,NA,Comedy,NA,NA,NA

Ai no mukidashi,2008,NA,237,8.1,78,Action,Comedy,Drama,NA

Zashchitniki,2017,NA,89,3.9,NA,Action,Adventure,Comedy,NA

The Angel,2018,NA,114,6.6,NA,Drama,Thriller,NA,NA

The Possession of Michael King,2014,R,83,5.7,34,Horror,NA,NA,NA

Et maintenant on va o�?,2011,PG-13,110,7.5,60,Comedy,Drama,NA,0.53

Freaky Friday,1976,NA,95,6.3,51,Comedy,Family,Fantasy,25.94

Runaway,I 1984,NA,99,5.9,50,Action,Crime,Sci-Fi,6.77

The Sheltering Sky,1990,NA,138,6.8,NA,Adventure,Drama,NA,2.08

Fashion,2008,NA,167,6.9,NA,Drama,NA,NA,0.19

Truman,2015,NA,108,7.3,81,Comedy,Drama,NA,0.21

Gung Ho,1986,NA,112,6.3,48,Comedy,Drama,NA,36.61

The Meddler,2015,PG-13,103,6.3,68,Comedy,Drama,Romance,4.27

Shut In,2015,R,90,5.7,39,Drama,Horror,Thriller,NA

Goodbye Bafana,2007,R,118,7.1,NA,Biography,Drama,History,NA

Brothers,I 2015,17+,156,6.5,NA,Action,Drama,Sport,0.27

Calvaire,2004,NA,88,6.2,52,Horror,NA,NA,0.00

Bad Girls,1994,R,99,5.2,NA,Action,Adventure,Romance,15.24

Xin Su shi jian,2009,R,119,7.0,63,Action,Crime,Drama,NA

The Letter,1940,NA,95,7.6,NA,Crime,Drama,Film-Noir,NA

Durak,II 2014,NA,116,8.0,83,Crime,Drama,Thriller,NA

The Super,2017,R,90,5.9,47,Horror,Thriller,NA,NA

Tom Jones,1963,NA,129,6.5,77,Adventure,Comedy,History,37.60

Roma,1972,NA,120,7.4,NA,Comedy,Drama,NA,0.73

Backtrack,I 2015,R,90,5.9,43,Drama,Fantasy,Mystery,NA

Hell,2011,R,89,5.8,NA,Horror,Sci-Fi,Thriller,NA

Inventing the Abbotts,1997,R,110,6.4,49,Drama,Romance,NA,5.94

Shoot to Kill,1988,NA,110,6.8,NA,Action,Adventure,Crime,29.30

Roja,1992,NA,137,8.2,NA,Drama,Romance,Thriller,NA

The Selfish Giant,2013,NA,91,7.3,83,Drama,NA,NA,0.01

The Longest Week,2014,PG-13,86,5.4,34,Comedy,Drama,Romance,NA

I Am a Fugitive from a Chain Gang,1932,NA,92,8.2,NA,Crime,Drama,Film-Noir,NA

Mother and Child,2009,R,125,7.2,64,Drama,Romance,NA,1.11

The Big Easy,1986,NA,102,6.5,77,Comedy,Crime,Drama,17.69

"Ensemble, c'est tout",2007,NA,97,6.8,NA,Drama,Romance,NA,NA

The Wild Geese,1978,NA,134,6.8,NA,Action,Adventure,Drama,NA

Mardaani,2014,NA,113,7.3,NA,Action,Crime,Drama,NA

The Court Jester,1955,NA,101,7.9,NA,Adventure,Comedy,Family,NA

Gun Crazy,1950,NA,87,7.6,74,Crime,Drama,Film-Noir,NA

Dutch,1991,NA,107,6.5,NA,Comedy,Drama,NA,4.60

Chupke Chupke,1975,NA,146,8.3,NA,Comedy,Drama,Romance,NA

Xi you: Xiang mo pian,2013,PG-13,110,6.8,68,Action,Adventure,Comedy,0.02

6 Years,2015,NA,79,5.6,53,Drama,Romance,NA,NA

Neco z Alenky,1988,NA,86,7.5,NA,Animation,Adventure,Fantasy,NA

Ustad Hotel,2012,NA,151,8.2,NA,Comedy,Drama,Family,NA

Sleepwalk with Me,2012,PG-13,81,6.8,71,Comedy,NA,NA,2.26

Ask Me Anything,2014,NA,100,6.0,NA,Drama,NA,NA,NA

Mr. Destiny,1990,NA,110,6.4,NA,Comedy,Fantasy,Romance,15.38

Kyaputen H�rokku,2013,NA,115,6.4,NA,Animation,Adventure,Sci-Fi,NA

Snow Day,2000,PG,89,5.1,34,Adventure,Comedy,Family,60.02

3 from Hell,2019,R,115,5.5,50,Action,Horror,NA,NA

Town Creek,2009,R,90,5.3,NA,Action,Fantasy,Horror,NA

"Torrente, el brazo tonto de la ley",1998,NA,97,6.9,NA,Comedy,Crime,NA,NA

Mine vaganti,2010,NA,110,7.3,NA,Comedy,Drama,Romance,NA

Fack ju G�hte 2,2015,NA,115,6.0,NA,Comedy,NA,NA,NA

The Only Living Boy in New York,2017,R,89,6.3,33,Drama,NA,NA,0.62

Nicholas Nickleby,2002,PG,132,7.1,71,Adventure,Drama,Romance,1.59

The Crazies,1973,NA,103,6.1,63,Action,Horror,Sci-Fi,0.15

Romance & Cigarettes,2005,R,105,6.3,55,Comedy,Musical,Romance,0.54

Extracted,2012,R,89,6.5,NA,Drama,Sci-Fi,NA,NA

Te3n,2016,17+,136,7.3,NA,Drama,Mystery,Thriller,0.26

One Chance,2013,PG-13,103,6.8,52,Biography,Comedy,Drama,0.09

Boze Cialo,2019,NA,115,7.7,77,Drama,NA,NA,NA

Incarnate,2016,D,87,5.3,30,Horror,Thriller,NA,4.79

Galveston,2018,NA,91,6.2,57,Action,Crime,Drama,NA

Dupa dealuri,2012,NA,152,7.5,79,Drama,NA,NA,0.11

The Hummingbird Project,2018,R,111,6.2,58,Drama,Thriller,NA,0.37

Point Blank,2019,NA,86,5.7,37,Action,Crime,Drama,NA

Indignation,2016,R,110,6.7,78,Drama,Romance,NA,3.40

The Return,I 2006,PG-13,85,4.7,38,Horror,Mystery,Thriller,7.75

The Road to Wellville,1994,R,118,5.9,NA,Comedy,Drama,NA,6.51

Il portiere di notte,1974,NA,118,6.7,NA,Drama,NA,NA,NA

Aparajito,1956,NA,110,8.4,NA,Drama,NA,NA,0.17

Fright Night Part 2,1988,NA,104,5.9,NA,Comedy,Horror,Thriller,2.98

The Hollars,2016,PG-13,88,6.6,53,Comedy,Drama,Romance,1.02

Lucia,I 2013,NA,135,8.3,NA,Drama,Sci-Fi,Thriller,NA

"Kumiko, the Treasure Hunter",2014,NA,105,6.6,68,Drama,NA,NA,0.62

Populaire,2012,R,111,6.9,58,Comedy,Romance,Sport,0.18

Johnny Gaddaar,2007,NA,135,7.8,NA,Crime,Drama,Mystery,NA

Little Monsters,1989,NA,100,6.1,NA,Adventure,Comedy,Family,0.79

Robin and Marian,1976,NA,106,6.5,73,Adventure,Drama,Romance,8.72

Kelebekler,2018,NA,117,7.4,NA,Comedy,Drama,NA,NA

Kabali,2016,NA,153,6.2,NA,Action,Crime,Drama,NA

2001: A Space Travesty,2000,R,99,3.6,NA,Comedy,Sci-Fi,NA,NA

Sibirskiy tsiryulnik,1998,NA,180,7.8,NA,Comedy,Drama,History,NA

Play It to the Bone,1999,R,124,5.5,32,Comedy,Drama,Sport,8.43

Crimen ferpecto,2004,NA,105,7.1,68,Comedy,Crime,Thriller,NA

A Good Woman,2004,PG,93,6.5,53,Drama,Comedy,Romance,0.22

Temptation: Confessions of a Marriage Counselor,2013,PG-13,111,5.0,26,Drama,Thriller,NA,51.98

I Love Trouble,1994,PG,123,5.3,NA,Action,Comedy,Romance,30.81

Mac and Me,1988,NA,95,3.4,NA,Adventure,Family,Fantasy,6.42

Sherrybaby,2006,R,96,6.6,66,Drama,NA,NA,0.20

You Get Me,2017,NA,89,4.6,NA,Crime,Drama,Romance,NA

Santa Claus: The Movie,1985,NA,107,6.3,NA,Adventure,Family,Fantasy,23.72

Das Testament des Dr. Mabuse,1933,NA,122,8.0,NA,Crime,Horror,Mystery,NA

Kin-dza-dza!,1986,NA,135,8.1,NA,Comedy,Drama,Sci-Fi,NA

Brake,I 2012,R,92,6.1,38,Thriller,NA,NA,NA

The Foot Fist Way,2006,R,85,6.3,63,Comedy,NA,NA,0.23

Milk Money,1994,PG-13,110,5.6,NA,Comedy,Romance,NA,18.14

Divorzio all'italiana,1961,NA,105,8.1,NA,Comedy,Drama,Romance,NA

Moskva slezam ne verit,1980,NA,150,8.1,NA,Comedy,Drama,Romance,2.50

Shimmer Lake,2017,NA,86,6.3,NA,Crime,Drama,Mystery,NA

Kodachrome,2017,NA,105,6.8,57,Drama,NA,NA,NA

Saat po long,2005,NA,93,7.0,NA,Action,Crime,Thriller,NA

Vavien,2009,NA,100,7.5,NA,Comedy,Drama,Thriller,NA

Batman and Harley Quinn,2017,PG-13,74,5.9,NA,Animation,Action,Adventure,NA

Parada,2011,NA,115,7.3,NA,Comedy,Drama,NA,NA

Hey Ram,2000,NA,186,7.9,NA,Crime,Drama,History,0.27

Rise,2007,R,97,4.9,NA,Action,Crime,Horror,0.11

Jade,1995,R,95,5.3,NA,Crime,Drama,Thriller,9.80

Boxing Helena,1993,R,107,4.8,26,Drama,Mystery,Romance,1.80

Bird,1988,NA,161,7.2,78,Biography,Drama,Music,2.18

Ostre sledovan� vlaky,1966,NA,92,7.7,NA,Comedy,Drama,Romance,3.27

Mission Mangal,2019,13+,130,6.5,NA,Drama,History,NA,3.60

The Thaw,2009,R,94,5.2,NA,Horror,Sci-Fi,NA,NA

Wings,1927,PG-13,144,7.5,NA,Drama,Romance,War,6.59

God's Not Dead 2,2016,PG,120,4.4,22,Drama,NA,NA,20.77

The Hit List,2011,R,90,5.4,NA,Action,Thriller,NA,NA

Ninja: Shadow of a Tear,2013,R,95,6.2,NA,Action,Thriller,NA,NA

Nothing Is Private,2007,R,124,6.9,57,Drama,NA,NA,0.37

Days of Wine and Roses,1962,NA,117,7.9,74,Drama,NA,NA,NA

Tees Maar Khan,2010,NA,135,2.5,NA,Comedy,Crime,NA,1.08

Forget Paris,1995,PG-13,101,6.5,NA,Comedy,Romance,NA,33.19

Monkey Business,1931,NA,77,7.5,74,Comedy,Musical,NA,NA

Yamakasi - Les samoura�s des temps modernes,2001,NA,90,6.2,NA,Action,Drama,Crime,NA

Redline,2009,NA,102,7.5,NA,Animation,Action,Romance,NA

The Slumber Party Massacre,1982,NA,77,5.7,NA,Horror,NA,NA,NA

Go Goa Gone,2013,NA,108,6.6,NA,Action,Adventure,Comedy,0.30

She's Having a Baby,1988,NA,106,5.9,41,Comedy,Drama,Romance,16.03

Carnal Knowledge,1971,NA,98,7.0,77,Drama,NA,NA,28.62

USS Indianapolis: Men of Courage,2016,R,128,5.2,30,Action,Drama,History,NA

Bucky Larson: Born to Be a Star,2011,R,97,3.2,9,Comedy,NA,NA,2.33

Fritz the Cat,1972,NA,78,6.3,54,Animation,Comedy,Drama,25.00

Madea Goes to Jail,2009,PG-13,103,4.5,50,Comedy,Crime,Drama,90.49

Terra,2007,PG,90,6.5,54,Animation,Action,Adventure,1.65

Barda,2007,NA,92,7.0,NA,Crime,Drama,Thriller,NA

Host,II 2020,NA,57,6.6,72,Horror,Mystery,NA,NA

Outsourced,2006,PG-13,103,7.0,70,Comedy,Drama,Romance,0.16

Gold,I 2018,13+,151,7.3,NA,Drama,History,Sport,NA

Song of the South,1946,G,94,7.1,54,Animation,Comedy,Family,63.72

Running Scared,1986,NA,107,6.6,49,Action,Comedy,Crime,38.50

The Eyes of My Mother,2016,R,76,6.2,63,Drama,Horror,NA,0.03

Section 375,2019,NA,124,8.1,NA,Drama,Mystery,NA,NA

Coffee & Kareem,2020,NA,88,5.1,35,Action,Comedy,NA,NA

Edmond,2005,R,82,6.2,61,Drama,Thriller,NA,0.13

One True Thing,1998,R,127,7.0,63,Drama,NA,NA,23.25

Paa,2009,NA,133,7.2,30,Comedy,Drama,NA,0.20

Saala Khadoos,2016,13+,109,7.6,NA,Action,Drama,Sport,0.08

In the Blood,I 2014,R,108,5.7,40,Action,Crime,Thriller,NA

Oklahoma!,1955,NA,145,7.0,NA,Comedy,Drama,Musical,NA

Wild Orchid,1989,NA,105,4.6,19,Drama,Romance,NA,11.06

Captain America,1990,NA,97,3.2,NA,Action,Adventure,Sci-Fi,NA

Bala,2019,NA,133,7.4,NA,Comedy,NA,NA,NA

Sairat,2016,NA,174,8.3,NA,Drama,Romance,NA,NA

A Case of You,2013,R,89,5.6,38,Comedy,Romance,NA,NA

Intimacy,2001,R,119,6.1,69,Drama,Romance,NA,0.10

Tsumetai nettaigyo,2010,NA,146,7.1,66,Crime,Drama,Horror,NA

The Other Man,2008,R,88,5.4,34,Drama,Mystery,Thriller,NA

Hyde Park on Hudson,2012,R,94,5.8,55,Biography,Comedy,Drama,6.37

Dream Girl,III 2019,13+,132,7.0,NA,Comedy,Romance,NA,NA

Clockwise,1986,NA,96,6.6,NA,Comedy,NA,NA,1.48

Fat Albert,2004,PG,93,4.3,39,Comedy,Family,Fantasy,48.12

Rapture-Palooza,2013,R,85,5.2,44,Comedy,Fantasy,NA,NA

"Montevideo, Bog te video!",2010,NA,140,8.2,NA,Adventure,Comedy,Drama,NA

One Week,I 2008,NA,94,7.0,NA,Adventure,Drama,NA,NA

Bombay,1995,NA,141,8.1,NA,Drama,Musical,Romance,NA

Table No.21,2013,NA,108,7.1,NA,Adventure,Drama,Thriller,0.03

Occupation,2018,R,119,5.0,45,Action,Drama,Sci-Fi,NA

Code Name: The Cleaner,2007,PG-13,84,4.6,33,Action,Comedy,Crime,8.10

Oliver Twist,1948,NA,116,7.8,84,Drama,NA,NA,NA

Nanban,2012,NA,188,7.4,NA,Comedy,Drama,NA,NA

Big Jake,1971,PG-13,110,7.2,57,Western,NA,NA,16.35

Dance of the Dead,2008,R,87,5.8,NA,Action,Comedy,Horror,NA

Don,1978,NA,175,7.8,NA,Action,Crime,Thriller,NA

Billy Bathgate,1991,R,106,5.9,NA,Crime,Drama,Thriller,15.97

Aftershock,2012,R,89,4.8,39,Action,Adventure,Horror,0.04

Paradise Hills,2019,NA,95,5.5,49,Fantasy,Sci-Fi,Thriller,NA

Gokud� ky�fu dai-gekij�: Gozu,2003,R,130,7.0,58,Crime,Drama,Horror,0.05

Black Gold,II 2011,R,130,6.7,32,Action,Drama,History,NA

Steel,1997,PG-13,97,2.8,NA,Action,Adventure,Crime,1.71

Double Dragon,1994,PG-13,96,3.8,NA,Action,Adventure,Comedy,2.34

Two-Lane Blacktop,1971,NA,102,7.2,89,Drama,NA,NA,NA

The Personal History of David Copperfield,2019,PG,119,6.4,77,Comedy,Drama,NA,NA

MSG: The Messenger of God,2015,NA,197,5.9,NA,Action,Comedy,Drama,NA

Yves Saint Laurent,2014,R,106,6.3,51,Biography,Drama,NA,0.72

Rugrats in Paris: The Movie - Rugrats II,2000,NA,78,6.1,62,Animation,Adventure,Comedy,76.51

Fury,1936,NA,92,7.9,NA,Crime,Drama,Film-Noir,NA

The Deep,1977,NA,123,6.2,41,Adventure,Mystery,Thriller,6.84

Christmas in the Wild,2019,NA,85,6.1,NA,Comedy,Drama,Romance,NA

Cut Bank,2014,R,93,6.1,44,Crime,Drama,Thriller,NA

Bheja Fry,2007,NA,95,7.6,NA,Comedy,Drama,NA,NA

Mo' Better Blues,1990,NA,129,6.6,61,Drama,Music,Romance,16.15

Choi-jong-byeong-gi hwal,2011,R,122,7.2,NA,Action,Adventure,NA,0.25

Amusement,2008,R,85,4.9,NA,Action,Comedy,Crime,NA

Lean on Pete,2017,R,121,7.2,80,Drama,NA,NA,1.16

Beowulf,1999,R,95,4.1,NA,Action,Adventure,Fantasy,NA

Partner,2007,NA,155,5.7,NA,Comedy,Drama,Romance,1.06

Where the Buffalo Roam,1980,NA,99,6.7,NA,Biography,Comedy,NA,6.66

Escape Plan: The Extractors,2019,17+,97,4.4,NA,Action,Crime,Thriller,NA

Shampoo,1975,NA,110,6.4,65,Comedy,Drama,NA,49.41

Aterrados,2017,NA,87,6.5,NA,Horror,NA,NA,NA

The Front Runner,2018,R,113,6.1,61,Biography,Drama,History,2.00

Kapicilar Krali,1976,NA,84,8.4,NA,Comedy,Drama,NA,NA

The Troops of St. Tropez,1964,NA,90,7.2,NA,Adventure,Comedy,Crime,NA

The Toy,1982,NA,102,5.9,16,Comedy,NA,NA,47.12

Humpty Sharma Ki Dulhania,2014,NA,133,6.0,NA,Comedy,Drama,Romance,0.38

XX,2017,R,80,4.5,64,Horror,NA,NA,0.03

The Two Jakes,1990,NA,137,6.2,56,Crime,Drama,Mystery,10.01

Hombre,1967,NA,111,7.4,80,Western,NA,NA,NA

Our Souls at Night,2017,NA,103,6.9,69,Drama,Romance,NA,NA

Remo Williams: The Adventure Begins,1985,NA,121,6.5,46,Action,Adventure,Comedy,NA

Lay the Favorite,2012,R,94,4.8,38,Comedy,Drama,Romance,0.02

Beyond Re-Animator,2003,R,96,5.8,NA,Comedy,Horror,Sci-Fi,NA

Srimanthudu,2015,NA,158,7.5,NA,Action,Drama,NA,NA

L'empire des loups,2005,R,128,5.9,NA,Action,Crime,Drama,NA

The Young Offenders,2016,NA,83,7.1,NA,Adventure,Comedy,Crime,NA

Down a Dark Hall,2018,17+,96,5.1,56,Drama,Fantasy,Horror,NA

White Hunter Black Heart,1990,NA,112,6.6,NA,Adventure,Drama,NA,2.32

Do-ga-ni,2011,NA,125,8.1,NA,Drama,NA,NA,NA

Romeo & Juliet,II 2013,PG-13,118,5.8,41,Drama,Romance,NA,1.16

Noruwei no mori,2010,NA,133,6.3,58,Drama,Romance,NA,0.01

Kkeut-kka-ji-gan-da,2014,NA,111,7.2,76,Action,Crime,Thriller,NA

Hak hap,1996,R,99,6.1,NA,Action,Adventure,Comedy,12.49

Jeux interdits,1952,NA,86,8.0,NA,Comedy,Drama,War,0.01

The Ballad of Jack and Rose,2005,R,112,6.6,59,Drama,NA,NA,0.71

The Killing of a Chinese Bookie,1976,NA,135,7.4,65,Crime,Drama,Thriller,NA

Dog Pound,2010,NA,91,7.0,57,Drama,NA,NA,NA

Retreat,I 2011,R,90,5.8,NA,Drama,Thriller,NA,NA

Rit�n�,2002,R,116,6.4,36,Action,Adventure,Sci-Fi,0.07

Lebanon,2009,R,93,6.9,85,Drama,War,NA,0.37

Ostrov,2006,NA,112,7.9,NA,Drama,NA,NA,NA

I Walked with a Zombie,1943,NA,69,7.1,NA,Drama,Fantasy,Horror,NA

My Mom's New Boyfriend,2008,PG-13,97,5.3,NA,Comedy,Crime,Romance,NA

Reign of the Supermen,2019,PG-13,87,6.8,NA,Animation,Action,Adventure,NA

Life in a Metro,2007,NA,132,7.4,NA,Comedy,Drama,Romance,0.15

Shooting Dogs,2005,R,115,7.7,71,Drama,History,War,NA

Waxwork,1988,NA,95,6.2,41,Comedy,Horror,NA,0.81

Cure,1997,NA,111,7.4,70,Crime,Horror,Mystery,0.09

Avengement,I 2019,NA,87,6.5,63,Action,Crime,NA,NA

Feuchtgebiete,2013,NA,109,5.8,77,Comedy,Drama,NA,0.06

Gamgi,2013,NA,122,6.7,40,Action,Drama,Sci-Fi,NA

A Field in England,2013,NA,90,6.3,73,Drama,History,Horror,0.03

Hacivat Karag�z Neden �ld�r�ld�?,2006,NA,135,7.5,NA,Comedy,Drama,History,NA

Direkt�ren for det hele,2006,NA,99,6.7,71,Comedy,NA,NA,0.05

Into the Night,1985,NA,115,6.5,41,Action,Comedy,Crime,7.56

The Comebacks,2007,PG-13,107,4.3,25,Comedy,Sport,NA,13.35

The Deep End,2001,R,101,6.5,78,Crime,Drama,Mystery,8.82

Mindhorn,2016,NA,89,6.3,70,Comedy,Thriller,NA,NA

The Last: Naruto the Movie,2014,NA,112,7.6,NA,Animation,Action,Adventure,NA

Un t� con Mussolini,1999,PG,117,6.9,53,Comedy,Drama,War,14.35

Please Give,2010,R,87,6.6,78,Comedy,Drama,NA,4.03

People I Know,2002,R,100,5.5,53,Crime,Drama,NA,0.12

Freaks of Nature,2015,R,92,5.9,NA,Comedy,Horror,Sci-Fi,NA

Slaughterhouse Rulez,2018,R,104,5.3,39,Action,Comedy,Fantasy,0.00

The Flock,2007,R,105,5.7,NA,Crime,Drama,Mystery,NA

Le divorce,2003,PG-13,117,4.9,51,Drama,Romance,Comedy,9.07

Letter from an Unknown Woman,1948,NA,87,8.0,NA,Drama,Romance,NA,NA

Silk,2007,R,107,5.9,39,Drama,Romance,NA,1.10

La comunidad,2000,R,110,7.3,NA,Comedy,Crime,Horror,NA

Machuca,2004,NA,116,7.7,76,Biography,Drama,History,NA

Porky's II: The Next Day,1983,NA,98,5.1,38,Comedy,NA,NA,33.76

Mon roi,2015,NA,124,7.1,68,Drama,Romance,NA,0.05

Emergo,2011,R,80,5.1,NA,Horror,Thriller,NA,0.00

Critters 3,1991,NA,86,4.4,NA,Comedy,Horror,Sci-Fi,NA

The Preacher's Wife,1996,PG,123,5.6,NA,Comedy,Drama,Fantasy,48.10

No One Killed Jessica,2011,NA,136,7.2,NA,Biography,Crime,Drama,0.44

The Shape of Things,2003,R,96,6.7,59,Comedy,Drama,Romance,0.73

Gunga Din,1939,NA,117,7.3,NA,Adventure,Comedy,War,NA

The Woods,2006,R,91,5.7,NA,Adventure,Family,Fantasy,NA

Charley Varrick,1973,NA,111,7.5,NA,Action,Crime,Drama,NA

Three O'Clock High,1987,NA,97,7.2,36,Comedy,NA,NA,3.69

Soldaat van Oranje,1977,R,155,7.7,NA,Drama,Romance,Thriller,NA

The Assistant,III 2019,R,87,6.1,79,Drama,NA,NA,NA

Warui yatsu hodo yoku nemuru,1960,NA,151,8.0,NA,Crime,Drama,Thriller,NA

Modigliani,2004,R,128,7.4,25,Biography,Drama,NA,0.20

Lone Wolf McQuade,1983,NA,107,6.4,65,Action,Crime,Drama,12.23

The Last Summer,2019,NA,109,5.6,NA,Comedy,Romance,NA,NA

Seong lung wui,1992,PG-13,104,6.5,54,Action,Comedy,NA,8.33

Bhagam Bhag,2006,NA,157,6.4,NA,Comedy,Mystery,Thriller,0.65

Dead of Night,1945,NA,103,7.6,NA,Drama,Horror,NA,NA

StreetDance 3D,2010,PG-13,98,5.9,NA,Drama,Music,Romance,NA

Gentlemen Broncos,2009,PG-13,89,6.2,28,Adventure,Comedy,Sci-Fi,0.11

Ast�rix et les Vikings,2006,NA,78,6.1,NA,Animation,Adventure,Comedy,NA

Brainstorm,1983,NA,106,6.5,57,Sci-Fi,Thriller,NA,8.90

Devrim Arabalari,2008,NA,115,8.0,NA,Drama,NA,NA,NA

Les couloirs du temps: Les visiteurs II,1998,NA,118,6.2,NA,Comedy,Fantasy,NA,0.15

Boh lei chun,1999,PG-13,121,6.1,NA,Action,Comedy,Romance,NA

Billionaire Boys Club,2018,17+,108,5.6,30,Biography,Drama,Thriller,NA

A Fall from Grace,2020,NA,115,5.9,34,Drama,Fantasy,Thriller,NA

Leave Her to Heaven,1945,NA,110,7.6,NA,Drama,Film-Noir,Romance,NA

T�ky� zankoku keisatsu,2008,NA,110,5.9,NA,Action,Comedy,Horror,NA

The Children Act,2017,R,105,6.7,62,Drama,NA,NA,0.51

Shock Corridor,1963,NA,101,7.4,NA,Drama,Mystery,NA,NA

Brahms: The Boy II,2020,17+,86,4.6,29,Drama,Horror,Mystery,NA

The Exception,2016,17+,107,6.8,60,Drama,Romance,War,0.61

Against All Odds,1984,NA,128,5.9,42,Action,Adventure,Crime,25.10

Handsome Devil,2016,NA,95,7.0,60,Comedy,Drama,Sport,NA

Moscow on the Hudson,1984,NA,115,6.5,67,Comedy,Drama,Romance,25.10

Paddleton,2019,NA,89,7.2,70,Comedy,Drama,NA,NA

Bronco Billy,1980,NA,116,6.1,66,Action,Adventure,Comedy,24.27

Ball of Fire,1941,NA,111,7.8,78,Comedy,Romance,NA,NA

De-Lovely,2004,PG-13,125,6.6,53,Biography,Drama,Music,13.34

Rock the Kasbah,2015,R,106,5.5,29,Comedy,Music,War,2.98

Ghulam,1998,NA,162,7.3,NA,Action,Crime,Drama,NA

Labor Pains,2009,PG-13,90,4.8,NA,Comedy,Romance,NA,NA

The Crow: Salvation,2000,R,102,4.9,NA,Action,Crime,Fantasy,NA

Ruang rak noi nid mahasan,2003,R,112,7.5,73,Comedy,Drama,Romance,0.03

"Watch Out, We're Mad",1974,NA,102,7.5,NA,Action,Comedy,NA,NA

It's Such a Beautiful Day,2012,NA,62,8.3,90,Animation,Comedy,Drama,NA

Syrup,I 2013,R,90,5.7,NA,Comedy,Drama,Romance,0.00

Ernest Goes to Camp,1987,NA,92,5.6,24,Comedy,Family,NA,23.51

Rooster Cogburn,1975,NA,108,6.9,NA,Adventure,Drama,Western,8.02

The Keep,1983,NA,96,5.8,34,Drama,Fantasy,Horror,3.76

Toivon tuolla puolen,2017,NA,100,7.2,84,Comedy,Drama,NA,0.18

Polaroid,I 2019,17+,88,5.1,NA,Drama,Horror,Mystery,NA

The Portrait of a Lady,1996,PG-13,144,6.2,61,Drama,Romance,NA,3.69

La ley del deseo,1987,NC-17,102,7.1,NA,Comedy,Drama,Thriller,NA

The Babysitters,2007,R,88,5.6,35,Drama,NA,NA,0.04

Santa Claus Conquers the Martians,1964,NA,81,2.7,NA,Adventure,Comedy,Family,NA

Fifty Dead Men Walking,2008,R,117,6.9,57,Crime,Drama,Thriller,NA

Bob le flambeur,1956,NA,98,7.7,80,Crime,Drama,Thriller,0.02

Bigil,2019,NA,179,6.7,NA,Action,Drama,Sport,NA

United,I 2011,PG-13,94,7.4,NA,Drama,History,Sport,NA

Space Chimps,2008,NA,81,4.5,36,Animation,Adventure,Comedy,30.11

Pink Cadillac,1989,NA,122,5.4,NA,Action,Comedy,Crime,12.14

"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",1967,NA,82,8.4,NA,Adventure,Comedy,Romance,NA

Lammbock,2001,NA,93,7.3,NA,Comedy,NA,NA,NA

The Decoy Bride,2011,PG,89,6.2,42,Comedy,Drama,Romance,0.00

Monsieur Ibrahim et les fleurs du Coran,2003,R,96,7.3,69,Comedy,Drama,NA,2.82

